rank,title,year,venue,doi,url,cited_by_count,relevance_score,source_queries,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,serious_skim_rank,deep_read_rank,hostile_prior_rank
172,Interactive Tactile Perception for Classification of Novel Object Instances,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros45743.2020.9341795,https://doi.org/10.1109/iros45743.2020.9341795,5,55.556,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,,172,172,
173,A self-supervised learning approach to acquire representation of concave object manipulation with sparse tactile sensing,2026,Robotics and Autonomous Systems,10.1016/j.robot.2025.105319,https://doi.org/10.1016/j.robot.2025.105319,0,55.5,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; object-centric latent world model,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,,173,173,
174,An Open and Flexible Robot Perception Framework for Mobile Manipulation Tasks,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610743,https://doi.org/10.1109/icra57147.2024.10610743,2,55.454,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,174,174,
175,ACID: Action-Conditional Implicit Visual Dynamics for Deformable Object Manipulation,2022,Robotics: Science and Systems XVIII,10.15607/rss.2022.xviii.001,https://doi.org/10.15607/rss.2022.xviii.001,27,55.394,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,175,175,
176,Deformable One-Dimensional Object Detection for Routing and Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3146920,https://doi.org/10.1109/lra.2022.3146920,27,55.394,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,176,176,
177,Household Cloth Object Set: Fostering Benchmarking in Deformable Object Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3158428,https://doi.org/10.1109/lra.2022.3158428,25,55.33,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes,,177,177,
178,Learning Robust Policies for Object Manipulation with Robot Swarms,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8463215,https://doi.org/10.1109/icra.2018.8463215,11,55.158,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,178,178,
179,"Harnessing the Synergy between Pushing, Grasping, and Throwing to Enhance Object Manipulation in Cluttered Scenarios",2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610548,https://doi.org/10.1109/icra57147.2024.10610548,1,55.102,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,179,179,
180,Meta-Learning for Text-Based Object Localization in Robotic Manipulation with DNN and CLIP,2025,"2025 3rd International Conference on Mechatronics, Control and Robotics (ICMCR)",10.1109/icmcr64890.2025.10963286,https://doi.org/10.1109/icmcr64890.2025.10963286,1,55.102,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,180,180,
181,Design Modeling of the City Environment as an Object of Perception,2020,Interactive science,10.21661/r-541219,https://doi.org/10.21661/r-541219,1,55.102,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"The article discusses the need to find new modern approaches to formation of the urban public environment, which has the necessary qualities for the accumulation, development and improvement of the intellectual and psycho-emotional potential of society. The author describes certain distortions and destructive phenomena in the social environment of the city, which lead to negative social reactions. An opinion about the ongoing loss of social identity and degeneration of the aesthetic and creative context in the soci",181,181,
182,Focused Adaptation of Dynamics Models for Deformable Object Manipulation,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10161366,https://doi.org/10.1109/icra48891.2023.10161366,16,54.961,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,182,182,
183,Sensitive Manipulation: Manipulation Through Tactile Feedback,2018,International Journal of Humanoid Robotics,10.1142/s0219843618500123,https://doi.org/10.1142/s0219843618500123,15,54.908,robot manipulation object identity,,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",contact sensor layout/calibration; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes tactile object recognition less novel; leaves morphology-conditioned identity partitions mostly open.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic,"Object grasping and manipulation in robotics has been largely approached using visual feedback. Human studies on the other hand have demonstrated the importance of tactile and force feedback to guide the interaction between the fingers and the objects. Inspired by these observations, we propose an approach that consists in guiding a robot's actions mainly by tactile feedback, with remote sensing such as vision, used only as a complement. Directly sensing the interaction forces between the object, the environment, a",183,183,
184,Robotic eye-to-hand coordination: Implementing visual perception to object manipulation,2006,International Journal of Hybrid Intelligent Systems,10.3233/his-2005-2404,https://doi.org/10.3233/his-2005-2404,8,54.908,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,184,184,
185,Robust Peg-in-Hole Assembly under Uncertainties via Compliant and Interactive Contact-Rich Manipulation,2025,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.060,https://doi.org/10.15607/rss.2025.xxi.060,4,54.898,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,185,185,
186,Embodied Referring Expression for Manipulation Question Answering in Interactive Environment,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10160748,https://doi.org/10.1109/icra48891.2023.10160748,4,54.898,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,186,186,
187,Multi-modal Interactive Perception in Human Control of Complex Objects,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10160375,https://doi.org/10.1109/icra48891.2023.10160375,4,54.898,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,187,187,
188,3-D Deformable Object Manipulation Using Deep Neural Networks,2019,IEEE Robotics and Automation Letters,10.1109/lra.2019.2930476,https://doi.org/10.1109/lra.2019.2930476,81,54.828,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,188,188,
189,Evaluation of Human-Robot Object Co-manipulation Under Robot Impedance Control,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9197329,https://doi.org/10.1109/icra40945.2020.9197329,7,54.806,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,189,189,
190,Learning relational affordance models for robots in multi-object manipulation tasks,2012,2012 IEEE International Conference on Robotics and Automation,10.1109/icra.2012.6225042,https://doi.org/10.1109/icra.2012.6225042,74,54.75,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | Affordances are properties of objects alone rather than object-gripper-action triples. | Planning can consume object labels without knowing their gripper-conditioned validity.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change,,190,190,84
191,Vision for robotic object manipulation in domestic settings,2005,Robotics and Autonomous Systems,10.1016/j.robot.2005.03.011,https://doi.org/10.1016/j.robot.2005.03.011,73,54.738,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,191,191,
192,Learning object-level impedance control for robust grasping and dexterous manipulation,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2014.6907861,https://doi.org/10.1109/icra.2014.6907861,73,54.738,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,192,192,85
193,Learning Language-Conditioned Deformable Object Manipulation with Graph Dynamics,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610890,https://doi.org/10.1109/icra57147.2024.10610890,12,54.728,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,193,193,
194,Three-Dimensional Deformable Object Manipulation Using Fast Online Gaussian Process Regression,2018,IEEE Robotics and Automation Letters,10.1109/lra.2018.2793339,https://doi.org/10.1109/lra.2018.2793339,72,54.727,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,194,194,
195,Cooperative Manipulation and Identification of a 2-DOF Articulated Object by a Dual-Arm Robot,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8460511,https://doi.org/10.1109/icra.2018.8460511,6,54.69,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,195,195,
196,Deep Multi-Sensory Object Category Recognition Using Interactive Behavioral Exploration,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8794095,https://doi.org/10.1109/icra.2019.8794095,21,54.685,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,end-effector morphology; available contact observables; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,196,196,
197,Efficient Object Manipulation to an Arbitrary Goal Pose: Learning-Based Anytime Prioritized Planning,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9811547,https://doi.org/10.1109/icra46639.2022.9811547,11,54.658,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,197,197,
198,Modeling of flexible deformable object for robotic manipulation,2016,2016 IEEE International Symposium on Robotics and Intelligent Sensors (IRIS),10.1109/iris.2016.8066072,https://doi.org/10.1109/iris.2016.8066072,1,54.602,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,198,198,
199,Object Handle Segmentation in 3D Point Cloud for Robot Grasping Using Scale Invariant Heat Kernel Signature With Optimized XGBoost Classifier,2025,IET Image Processing,10.1049/ipr2.70225,https://doi.org/10.1049/ipr2.70225,1,54.602,robot grasping object recognition,,Predict or execute stable grasps and manipulation actions from object observations.,grasp synthesis or grasp quality model; pose/category-level perception; deformable/contact dynamics model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.",probing action family; available contact observables; label ontology; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; unmodeled probing choices hide discriminative variables; success/failure semantics differ across suction, pinch, and enveloping grasps",Makes grasp-conditioned measurements and success prediction less novel; usually treats object labels as fixed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,"ABSTRACT Segmenting graspable regions is crucial for robotic manipulation tasks like pickandplace and pouring. This study proposes a robust method for detecting handlelike regions in common objects, focusing on slender handles distinct from the main body. This characteristic is prevalent in many dailyuse objects that are often manipulated. Our method employs the scaleinvariant heat kernel signature (SIHKS) descriptor to capture local and global shape features of 3D objects. By utilizing SIHKS properties, we extract",199,199,
200,An open-source multi-DOF articulated robotic educational platform for autonomous object manipulation,2014,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2013.11.003,https://doi.org/10.1016/j.rcim.2013.11.003,61,54.585,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,200,200,
201,SculptBot: Pre-Trained Models for 3D Deformable Object Manipulation,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610899,https://doi.org/10.1109/icra57147.2024.10610899,10,54.583,interactive perception robotics object manipulation,,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,end-effector morphology; available contact observables; deployment embodiment/domain,"same object labels collapse or split when the gripper changes; visually identical objects differ only through contact; success/failure semantics differ across suction, pinch, and enveloping grasps; non-identifiability is mistaken for estimator uncertainty",Makes action selection for perception less novel; does not by itself make identity gripper-indexed.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels,,201,201,
