rank,title,year,venue,relevance_score,problem,mechanism,assumptions,leaves_open
49,Bioinspired dual soft arm mobile robot with humanoid tactile fingertip sensing and bubble artificial muscles for adaptive obstacle avoidance and object manipulation,2025,Bioinspiration &amp; Biomimetics,63.954,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",active perception policy; tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
50,Torque-planning errors affect the perception of object properties and sensorimotor memories during object manipulation in uncertain grasp situations,2019,Journal of Neurophysiology,61.394,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; deformable/contact dynamics model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
51,Motion Planning for Nonprehensile Object Manipulation Using Novel 5-Bar Linkage,2025,Journal of Mechanisms and Robotics,65.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
52,"Robotic surfaces with reversible, spatiotemporal control for shape morphing and object manipulation",2021,Science Robotics,65.841,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
53,A Hybrid Grasp Matrix for Cooperative Robotic Object Manipulation,2011,"Volume 6: 35th Mechanisms and Robotics Conference, Parts A and B",63.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
54,A Cross-Embodiment Gripper Benchmark for Rigid-Object Manipulation in Aerial and Industrial Robotics,2026,IEEE Robotics and Automation Letters,63.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes
55,Semantic labeling of 3D point clouds with object affordance for robot manipulation,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),59.326,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | Affordances are properties of objects alone rather than object-gripper-action triples. | Planning can consume object labels without knowing their gripper-conditioned validity.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
56,Magnetostrictive-based multimodal tactile sensors for object recognition,2024,AIP Advances,61.398,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
57,6-DOF Grasping for Target-driven Object Manipulation in Clutter,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),57.451,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
58,Tactile-Driven Non-Prehensile Object Manipulation via Extrinsic Contact Mode Control,2024,Robotics: Science and Systems XX,61.056,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; robot learning control policy,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
59,Learning Latent Object-Centric Representations for Visual-Based Robot Manipulation,2022,2022 International Conference on Advanced Robotics and Mechatronics (ICARM),61.056,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A single latent object embedding can serve all manipulation actions. | A learned representation that is invariant across embodiments is always beneficial.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
60,Validations of various in-hand object manipulation strategies employing a novel tactile sensor developed for an under-actuated robot hand,2024,Frontiers in Robotics and AI,61.204,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
61,Slipping Control Algorithms for Object Manipulation with Sensorized Parallel Grippers,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),58.925,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
62,Improving Object Grasping Through Synthetic Perception-Based Pose Correction in Robotic Manipulation,2025,2025 IEEE International Conference on Development and Learning (ICDL),62.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
63,Skill generalization of tubular object manipulation with tactile sensing and Sim2Real learning,2023,Robotics and Autonomous Systems,58.483,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
64,Object Manipulation by Universal Vacuum Gripper with Vibration Brush,2019,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),62.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; soft/suction gripper mechanism,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
65,Trends and challenges in robot manipulation,2019,Science,61.394,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
66,Blind Grasp and Manipulation of a Rigid Object by a Pair of Robot Fingers with Soft Tips,2007,Proceedings 2007 IEEE International Conference on Robotics and Automation,58.558,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
67,Enhancing Perception with Tactile Object Recognition in Adaptive Grippers for Human-Robot Interaction,2018,Sensors,57.085,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; pose/category-level perception; soft/suction gripper mechanism,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
68,Human grasp position estimation for human-robot cooperative object manipulation,2020,Robotics and Autonomous Systems,59.556,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
69,Task-Oriented Grasping Position Selection in Deformable Object Manipulation,2023,IEEE Robotics and Automation Letters,59.19,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; deformable/contact dynamics model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
70,Simultaneous Tactile Localization And Reconstruction of an Object During Robotic Manipulation,2021,2021 20th International Conference on Advanced Robotics (ICAR),59.954,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
71,Coupling Human Action Recognizer With Object Detector for Robotic Manipulation in Human-Robot Interaction,2025,ASME Letters in Translational Robotics,68.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
72,RGB-D object detection and semantic segmentation for autonomous manipulation in clutter,2018,The International Journal of Robotics Research,62.658,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
73,Scaling Object-centric Robotic Manipulation with Multimodal Object Identification,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),60.102,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A single latent object embedding can serve all manipulation actions. | A learned representation that is invariant across embodiments is always beneficial.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
74,Object-Centric Kinodynamic Planning for Nonprehensile Robot Rearrangement Manipulation,2025,IEEE Transactions on Robotics,60.102,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A single latent object embedding can serve all manipulation actions. | A learned representation that is invariant across embodiments is always beneficial.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
75,"Modeling, learning, perception, and control methods for deformable object manipulation",2021,Science Robotics,61.356,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; deformable/contact dynamics model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
76,Enhanced robotic tactile perception with spatiotemporal sensing and logical reasoning for robust object recognition,2024,Applied Physics Reviews,57.908,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
77,Planning CollisionFree Reaching Motions for Interactive Object Manipulation and Grasping,2003,Computer Graphics Forum,55.915,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
78,Interactive imitation learning for dexterous robotic manipulation: challenges and perspectives-a survey,2025,Frontiers in Robotics and AI,65.954,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; robot learning control policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
79,Motion Planning for Dynamic Three-Dimensional Manipulation for Unknown Flexible Linear Object,2024,Journal of Robotics and Mechatronics,67.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
80,Robust tactile object recognition in open-set scenarios using Gaussian prototype learning,2022,Frontiers in Neuroscience,58.204,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; object-centric latent world model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; mechanistic demonstration beyond benchmark score changes
81,Design and implementation of robot assisted arduino based object recognition and sorting,2023,i-manager's Journal on Embedded Systems,58.204,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
82,A Case Study of Flexible Object Manipulation,1991,The International Journal of Robotics Research,62.139,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; object-centric latent world model; deformable/contact dynamics model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
83,Robotic Hands for Object Grasping and Manipulation,2022,Journal of the Robotics Society of Japan,59.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
84,Learning relational affordance models for robots in multi-object manipulation tasks,2012,2012 IEEE International Conference on Robotics and Automation,54.75,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | Affordances are properties of objects alone rather than object-gripper-action triples. | Planning can consume object labels without knowing their gripper-conditioned validity.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; distinguishing affordance from identity when observables change
85,Learning object-level impedance control for robust grasping and dexterous manipulation,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),54.738,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; robot learning control policy,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
86,PMK-A Knowledge Processing Framework for Autonomous Robotics Perception and Manipulation,2019,Sensors,61.981,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; affordance learning model; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
87,Tactile-Filter: Interactive Tactile Perception for Part Mating,2023,Robotics: Science and Systems XIX,57.19,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
88,Non-grasp manipulation of deformable object by using pizza handling mechanism,2009,2009 IEEE International Conference on Robotics and Automation,56.292,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model; deformable/contact dynamics model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
89,Massive Rock Handling by a Breaker -Graspless Manipulation and Object Recognition-,2006,Proceedings of the International Symposium on Automation and Robotics in Construction (IAARC),50.954,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
90,Self-supervised 6D Object Pose Estimation for Robot Manipulation,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),60.486,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
91,Predictive Visuo-Tactile Interactive Perception Framework for Object Properties Inference,2025,IEEE Transactions on Robotics,49.898,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; tactile/visuotactile representation; deformable/contact dynamics model,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
92,High-Speed Tactile Sensing for Array-Type Tactile Sensor and Object Manipulation Based on Tactile Information,2011,Journal of Robotics,55.728,"Use contact/touch signals to recognize, localize, or manipulate objects when vision is incomplete.",tactile/visuotactile representation; grasp synthesis or grasp quality model; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels; when tactile signatures are gripper-specific rather than object-intrinsic
93,"Forcebased perception and manipulation, the DTU team competing in MBZIRC 2017",2019,Journal of Field Robotics,65.5,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,"Tactile readings are sensor features rather than gripper-object relational events. | Object mass, friction, compliance, and geometry are separable from the grasp family. | Contact observables reveal intrinsic object state rather than a quotient of state by probe. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
94,Figure-ground organization and object recognition processes: An interactive account.,1998,Journal of Experimental Psychology: Human Perception and Performance,53.665,Choose robot interactions that reveal object state or category under partial observability.,active perception policy,The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed. | The object model need not represent unobservable equivalence classes. | A category label is stable across changes in contact geometry. | Benchmark labels correspond to the distinctions a deployed gripper can observe.,formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
95,Efficient 3D object perception and grasp planning for mobile manipulation in domestic environments,2013,Robotics and Autonomous Systems,54.204,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
96,Enhancing Robot Perception in Grasping and Dexterous Manipulation through Crowdsourcing and Gamification,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),58.0,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; grasp synthesis or grasp quality model,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
97,Shelf Replenishment Based on Object Arrangement Detection and Collapse Prediction for Bimanual Manipulation,2022,Robotics,62.158,Choose robot interactions that reveal object state or category under partial observability.,active perception policy; pose/category-level perception,"Object identity is independent of the robot hand or end-effector. | The gripper can be treated as an interchangeable actuator, not part of perception. | The same failure mode has the same semantic meaning for suction, pinch, and enveloping hands. | The sensor stream is a sufficient statistic for object identity regardless of action. | Active perception chooses actions but assumes the object identity target is fixed.",formal equivalence classes induced by gripper-action observation channels; morphology-indexed object identity rather than embodiment-invariant labels
